language,week,visits
(not set),1,111
(not set),2,468
(not set),3,460
(not set),4,650
(not set),5,794
(not set),6,932
(not set),7,932
(not set),8,935
(not set),9,1335
(not set),10,1019
(not set),11,1441
(not set),12,51343
(not set),13,61824
(not set),14,65253
(not set),15,58364
(not set),16,61309
(not set),17,58568
(not set),18,58300
(not set),19,60144
(not set),20,61564
(not set),21,58710
(not set),22,60088
(not set),23,56551
(not set),24,54119
(not set),25,55139
(not set),26,50819
(not set),27,49888
(not set),28,52559
(not set),29,50625
(not set),30,51197
(not set),31,47644
(not set),32,48513
(not set),33,50862
(not set),34,47805
(not set),35,52029
(not set),36,49917
(not set),37,52104
(not set),38,53099
(not set),39,56451
(not set),40,58882
(not set),41,61072
(not set),42,56150
(not set),43,59707
(not set),44,58333
(not set),45,63723
(not set),46,60540
(not set),47,57055
(not set),48,53084
(not set),49,55224
(not set),50,50752
(not set),51,44545
(not set),52,32409
(not set),53,34382
af,10,221
af,11,512
af,12,727
af,13,639
af,14,693
af,15,225
af,16,101
af,17,106
af,18,310
af,19,352
af,20,771
af,21,754
af,22,841
af,23,818
af,24,504
af,25,530
af,26,439
af,27,826
af,28,732
af,29,826
af,30,745
af,31,768
af,32,889
af,33,611
af,34,691
af,35,691
af,36,596
af,37,728
af,38,648
af,39,737
af,40,698
af,41,973
af,42,852
af,43,684
af,44,890
af,45,757
af,46,946
af,47,952
af,48,839
af,49,966
af,50,972
af,51,883
af,52,766
af,53,1009
af-za,5,203
af-za,10,369
af-za,11,1191
af-za,12,1491
af-za,13,1097
af-za,14,991
af-za,15,703
af-za,16,467
af-za,17,328
af-za,18,311
af-za,20,113
am,10,101
am,11,694
am,12,671
am,13,534
am,14,355
am,16,106
am,47,101
ar,1,122203
ar,2,118632
ar,3,125457
ar,4,141575
ar,5,153724
ar,6,171543
ar,7,190057
ar,8,209531
ar,9,208533
ar,10,208304
ar,11,234327
ar,12,287366
ar,13,304507
ar,14,312811
ar,15,343622
ar,16,320632
ar,17,233957
ar,18,229822
ar,19,330022
ar,20,402053
ar,21,304547
ar,22,399197
ar,23,386017
ar,24,344820
