language,week,visits
ar-iq,38,3770
ar-iq,39,3826
ar-iq,40,1760
ar-iq,41,2519
ar-iq,42,3782
ar-iq,43,4088
ar-iq,44,3639
ar-iq,45,1479
ar-iq,46,3537
ar-iq,47,3621
ar-iq,48,3269
ar-iq,49,3410
ar-iq,50,3746
ar-iq,51,3430
ar-iq,52,3513
ar-jo,1,737
ar-jo,2,1053
ar-jo,3,946
ar-jo,4,1030
ar-jo,5,1089
ar-jo,6,1183
ar-jo,7,1332
ar-jo,8,1380
ar-jo,9,1314
ar-jo,10,3245
ar-jo,11,4167
ar-jo,12,4123
ar-jo,13,4551
ar-jo,14,3739
ar-jo,15,3937
ar-jo,16,4632
ar-jo,17,4383
ar-jo,18,3911
ar-jo,19,2791
ar-jo,20,2518
ar-jo,21,2182
ar-jo,22,1586
ar-jo,23,1456
ar-jo,24,2018
ar-jo,25,2381
ar-jo,26,2744
ar-jo,27,2709
ar-jo,28,2891
ar-jo,29,2976
ar-jo,30,2700
ar-jo,31,2699
ar-jo,32,2083
ar-jo,33,2145
ar-jo,34,2277
ar-jo,35,2174
ar-jo,36,2422
ar-jo,37,2499
ar-jo,38,2526
ar-jo,39,2915
ar-jo,40,3479
ar-jo,41,4183
ar-jo,42,4589
ar-jo,43,4525
ar-jo,44,4696
ar-jo,45,4498
ar-jo,46,4626
ar-jo,47,4615
ar-jo,48,4842
ar-jo,49,4848
ar-jo,50,4869
ar-jo,51,4621
ar-jo,52,4052
ar-kw,10,118
ar-kw,12,231
ar-kw,13,427
ar-kw,14,334
ar-kw,15,452
ar-kw,16,221
ar-kw,17,325
ar-kw,18,109
ar-kw,38,101
ar-kw,40,106
ar-kw,41,121
ar-kw,43,104
ar-kw,44,208
ar-kw,45,341
ar-kw,47,126
ar-kw,48,316
ar-kw,49,101
ar-kw,51,108
ar-lb,12,109
ar-lb,19,102
ar-ly,10,638
ar-ly,11,734
ar-ly,12,1033
ar-ly,13,1274
ar-ly,14,646
ar-ly,15,1005
ar-ly,16,1160
ar-ly,17,972
ar-ly,18,751
ar-ly,19,222
ar-ly,20,211
ar-ly,21,124
ar-ly,22,108
ar-ly,23,255
ar-ly,24,846
ar-ly,25,876
ar-ly,26,865
ar-ly,27,860
ar-ly,28,720
ar-ly,29,976
ar-ly,30,1000
ar-ly,31,840
ar-ly,32,105
ar-ly,33,239
ar-ly,34,699
ar-ly,35,671
ar-ly,36,937
ar-ly,37,1126
ar-ly,38,963
ar-ly,39,1056
ar-ly,40,1127
ar-ly,41,1182
ar-ly,42,1154
ar-ly,43,1140
ar-ly,44,1242
ar-ly,45,1168
ar-ly,46,1246
ar-ly,47,1270
ar-ly,48,1357
ar-ly,49,1374
ar-ly,50,1410
ar-ly,51,1346
ar-ly,52,1375
ar-ma,16,101
ar-ma,17,202
ar-ma,41,104
ar-ma,42,107
ar-ma,43,220
ar-ma,44,107
ar-ma,45,109
ar-ma,47,205
ar-ma,48,220
ar-ma,49,103
ar-ma,51,410
ar-om,10,1005
ar-om,11,1422
ar-om,12,1461
ar-om,13,1564
ar-om,14,1197
ar-om,15,1556
ar-om,16,1650
ar-om,17,1490
ar-om,18,1263
ar-om,19,1032
ar-om,20,969
ar-om,21,369
ar-om,23,122
ar-om,24,773
ar-om,25,468
ar-om,26,474
ar-om,27,616
ar-om,28,687
ar-om,29,649
ar-om,30,359
ar-om,31,339
ar-om,36,333
ar-om,37,640
ar-om,38,962
ar-om,39,1111
ar-om,40,1462
ar-om,41,1472
ar-om,42,1496
ar-om,43,1232
ar-om,44,1338
ar-om,45,1314
ar-om,46,1495
ar-om,47,1363
ar-om,48,1190
ar-om,49,1437
ar-om,50,1432
ar-om,51,914
ar-om,52,789
ar-ps,16,102
ar-ps,41,101
ar-ps,43,217
ar-ps,48,221
ar-ps,49,632
ar-ps,50,210
ar-sa,1,2971
ar-sa,2,4021
ar-sa,3,4282
ar-sa,4,4894
