domain,week,visits,year
cdc.gov,1,31707357,2021
cdc.gov,2,34369005,2021
cdc.gov,3,32414343,2021
cdc.gov,4,32545715,2021
cdc.gov,5,29214188,2021
cdc.gov,6,29057950,2021
cdc.gov,7,26285927,2021
cdc.gov,8,28127450,2021
cdc.gov,9,32021284,2021
cdc.gov,10,35835751,2021
cdc.gov,11,32727420,2021
cdc.gov,12,31795578,2021
cdc.gov,13,31430020,2021
cdc.gov,14,32380140,2021
cdc.gov,15,29359642,2021
cdc.gov,16,27309080,2021
cdc.gov,17,28089079,2021
cdc.gov,18,24911655,2021
cdc.gov,19,27621838,2021
cdc.gov,20,24584166,2021
cdc.gov,21,21985389,2021
cdc.gov,22,20030904,2021
cdc.gov,23,20840065,2021
cdc.gov,24,20104944,2021
cdc.gov,25,20476238,2021
cdc.gov,26,19669726,2021
cdc.gov,27,19553953,2021
cdc.gov,28,21521121,2021
cdc.gov,29,24483236,2021
cdc.gov,30,29859981,2021
cdc.gov,31,31550844,2021
cdc.gov,32,31645354,2021
cdc.gov,33,30809874,2021
cdc.gov,34,31626298,2021
cdc.gov,35,27973842,2021
cdc.gov,36,27464430,2021
cdc.gov,37,27468605,2021
cdc.gov,38,26026066,2021
cdc.gov,39,26077412,2021
cdc.gov,40,24325741,2021
cdc.gov,41,23005178,2021
cdc.gov,42,26060802,2021
cdc.gov,43,25573746,2021
cdc.gov,44,25754624,2021
cdc.gov,45,26109235,2021
cdc.gov,46,25702221,2021
cdc.gov,47,21682418,2021
cdc.gov,48,27165545,2021
cdc.gov,49,24728470,2021
cdc.gov,50,28290504,2021
cdc.gov,51,31558187,2021
cdc.gov,52,42808685,2021
covid.cdc.gov,1,1699095,2021
covid.cdc.gov,2,1653658,2021
covid.cdc.gov,3,1616191,2021
covid.cdc.gov,4,1504225,2021
covid.cdc.gov,5,1350687,2021
covid.cdc.gov,6,1373267,2021
covid.cdc.gov,7,1295417,2021
covid.cdc.gov,8,1355746,2021
covid.cdc.gov,9,1501754,2021
covid.cdc.gov,10,1518268,2021
covid.cdc.gov,11,1464187,2021
covid.cdc.gov,12,1536511,2021
covid.cdc.gov,13,1602029,2021
covid.cdc.gov,14,1612375,2021
covid.cdc.gov,15,1512969,2021
covid.cdc.gov,16,1522654,2021
covid.cdc.gov,17,1539778,2021
covid.cdc.gov,18,1367282,2021
covid.cdc.gov,19,1406756,2021
covid.cdc.gov,20,1397961,2021
covid.cdc.gov,21,1186496,2021
covid.cdc.gov,22,1154305,2021
covid.cdc.gov,23,1053346,2021
covid.cdc.gov,24,993278,2021
covid.cdc.gov,25,913240,2021
covid.cdc.gov,26,1107566,2021
covid.cdc.gov,27,936378,2021
covid.cdc.gov,28,1019724,2021
covid.cdc.gov,29,1416568,2021
covid.cdc.gov,30,5415540,2021
covid.cdc.gov,31,4502595,2021
covid.cdc.gov,32,3362985,2021
covid.cdc.gov,33,2472517,2021
covid.cdc.gov,34,2137756,2021
covid.cdc.gov,35,1729965,2021
covid.cdc.gov,36,1748153,2021
covid.cdc.gov,37,1630802,2021
covid.cdc.gov,38,1339350,2021
covid.cdc.gov,39,1255066,2021
covid.cdc.gov,40,1138635,2021
covid.cdc.gov,41,1117751,2021
covid.cdc.gov,42,1253462,2021
covid.cdc.gov,43,1151774,2021
covid.cdc.gov,44,1140990,2021
covid.cdc.gov,45,1160626,2021
covid.cdc.gov,46,1175272,2021
covid.cdc.gov,47,956856,2021
covid.cdc.gov,48,1221625,2021
covid.cdc.gov,49,1057574,2021
covid.cdc.gov,50,1354299,2021
covid.cdc.gov,51,1539417,2021
covid.cdc.gov,52,1755214,2021
vaccines.gov,1,248330,2021
vaccines.gov,2,505547,2021
vaccines.gov,3,512362,2021
vaccines.gov,4,451357,2021
vaccines.gov,5,329796,2021
vaccines.gov,6,301021,2021
vaccines.gov,7,232381,2021
vaccines.gov,8,301344,2021
vaccines.gov,9,492871,2021
vaccines.gov,10,566045,2021
vaccines.gov,11,526603,2021
vaccines.gov,12,495831,2021
vaccines.gov,13,439522,2021
vaccines.gov,14,402008,2021
vaccines.gov,15,269245,2021
vaccines.gov,16,209663,2021
vaccines.gov,17,706519,2021
vaccines.gov,18,1687432,2021
vaccines.gov,19,2370695,2021
vaccines.gov,20,1795191,2021
vaccines.gov,21,1403156,2021
vaccines.gov,22,1281116,2021
vaccines.gov,23,1364175,2021
vaccines.gov,24,1166807,2021
vaccines.gov,25,1946766,2021
vaccines.gov,26,1201979,2021
vaccines.gov,27,1064712,2021
vaccines.gov,28,1331030,2021
vaccines.gov,29,1981467,2021
vaccines.gov,30,2729280,2021
vaccines.gov,31,1959443,2021
vaccines.gov,32,2238887,2021
vaccines.gov,33,3055078,2021
vaccines.gov,34,3440982,2021
vaccines.gov,35,1675011,2021
vaccines.gov,36,1256007,2021
vaccines.gov,37,1336058,2021
vaccines.gov,38,1582769,2021
vaccines.gov,39,1764665,2021
vaccines.gov,40,1496390,2021
vaccines.gov,41,1428805,2021
vaccines.gov,42,1865327,2021
vaccines.gov,43,2040709,2021
vaccines.gov,44,2634918,2021
vaccines.gov,45,2203909,2021
vaccines.gov,46,2339435,2021
vaccines.gov,47,2033798,2021
vaccines.gov,48,3323792,2021
vaccines.gov,49,2471899,2021
vaccines.gov,50,2923376,2021
vaccines.gov,51,2915134,2021
vaccines.gov,52,2706622,2021
vacunas.gov,17,5895,2021
vacunas.gov,18,28422,2021
vacunas.gov,19,32912,2021
vacunas.gov,20,63983,2021
vacunas.gov,21,82431,2021
vacunas.gov,22,88889,2021
vacunas.gov,23,107767,2021
vacunas.gov,24,109711,2021
vacunas.gov,25,120921,2021
vacunas.gov,26,38057,2021
vacunas.gov,27,35916,2021
vacunas.gov,28,36585,2021
vacunas.gov,29,49200,2021
vacunas.gov,30,121640,2021
vacunas.gov,31,79670,2021
vacunas.gov,32,51364,2021
vacunas.gov,33,42791,2021
vacunas.gov,34,97579,2021
vacunas.gov,35,65912,2021
vacunas.gov,36,50144,2021
vacunas.gov,37,46267,2021
vacunas.gov,38,52722,2021
vacunas.gov,39,69220,2021
vacunas.gov,40,67802,2021
vacunas.gov,41,66488,2021
vacunas.gov,42,66838,2021
vacunas.gov,43,78880,2021
vacunas.gov,44,91445,2021
vacunas.gov,45,127538,2021
vacunas.gov,46,148370,2021
vacunas.gov,47,115363,2021
vacunas.gov,48,103112,2021
vacunas.gov,49,70871,2021
vacunas.gov,50,65972,2021
vacunas.gov,51,72291,2021
vacunas.gov,52,107259,2021
