language,week,visits
(not set),1,50132
(not set),2,50474
(not set),3,54776
(not set),4,58713
(not set),5,66129
(not set),6,59362
(not set),7,55570
(not set),8,58801
(not set),9,57424
(not set),10,60341
(not set),11,58070
(not set),12,76013
(not set),13,85913
(not set),14,58832
(not set),15,51725
(not set),16,61733
(not set),17,62315
(not set),18,55476
(not set),19,59727
(not set),20,59675
(not set),21,60936
(not set),22,50708
(not set),23,47443
(not set),24,51275
(not set),25,45872
(not set),26,46383
(not set),27,42357
(not set),28,42864
(not set),29,38409
(not set),30,46083
(not set),31,43474
(not set),32,46759
(not set),33,47443
(not set),34,48984
(not set),35,56164
(not set),36,45134
(not set),37,57842
(not set),38,54341
(not set),39,48545
(not set),40,48145
(not set),41,49858
(not set),42,50156
(not set),43,52252
(not set),44,51871
(not set),45,58340
(not set),46,52938
(not set),47,28751
(not set),48,32897
(not set),49,30203
(not set),50,25630
(not set),51,19662
(not set),52,32154
af,1,1238
af,2,1307
af,3,1528
af,4,1407
af,5,1397
af,6,1352
af,7,1401
af,8,1463
af,9,1274
af,10,1285
af,11,1414
af,12,1125
af,13,1116
af,14,1115
af,15,1236
af,16,1349
af,17,1455
af,18,1396
af,19,1457
af,20,1646
af,21,1526
af,22,1495
af,23,1436
af,24,1370
af,25,1425
af,26,1160
af,27,1296
af,28,1346
af,29,1459
af,30,1434
af,31,1370
af,32,1548
af,33,1532
af,34,1540
af,35,1600
af,36,1494
af,37,1482
af,38,1514
af,39,1504
af,40,1470
af,41,1524
af,42,1513
af,43,1570
af,44,1671
af,45,1589
af,46,1549
af,47,1527
af,48,1528
af,49,1335
af,50,1374
af,51,1163
af,52,1092
am,1,110
am,2,229
am,3,655
am,4,226
am,5,209
am,6,209
am,11,334
am,12,104
am,13,105
am,14,107
am,15,218
am,16,125
am,18,322
am,19,498
am,20,469
am,21,227
am,22,584
am,23,124
am,25,320
am,29,105
am,30,102
am,33,124
am,34,216
am,35,220
am,36,214
am,37,746
am,38,955
am,39,762
am,40,809
am,41,982
am,42,961
am,43,1022
am,44,973
am,45,1081
am,46,1159
am,47,1117
am,48,1308
am,49,1341
am,50,1304
am,51,1226
am,52,1011
ar,1,227572
ar,2,220183
ar,3,226605
ar,4,233652
ar,5,236266
ar,6,253175
ar,7,263514
ar,8,254524
ar,9,273414
ar,10,282362
ar,11,281059
ar,12,240467
ar,13,220971
ar,14,233337
ar,15,283832
ar,16,265999
ar,17,192447
ar,18,210680
ar,19,305970
ar,20,302753
ar,21,267213
ar,22,241928
ar,23,229476
ar,24,214629
ar,25,204618
ar,26,174253
ar,27,120444
ar,28,140015
ar,29,176116
ar,30,177068
ar,31,178164
ar,32,180699
ar,33,186114
ar,34,184859
ar,35,195211
ar,36,227261
ar,37,252348
ar,38,247885
ar,39,254604
ar,40,276334
ar,41,314267
ar,42,362292
ar,43,379047
ar,44,372962
ar,45,343289
ar,46,326273
ar,47,297760
ar,48,300223
ar,49,330090
ar,50,331687
ar,51,331119
ar,52,251014
ar-ae,1,52823
ar-ae,2,55147
ar-ae,3,48177
ar-ae,4,48048
ar-ae,5,46255
ar-ae,6,47127
ar-ae,7,49751
ar-ae,8,50331
ar-ae,9,53543
ar-ae,10,56558
ar-ae,11,54931
ar-ae,12,42103
ar-ae,13,36401
ar-ae,14,37663
ar-ae,15,48823
ar-ae,16,47442
ar-ae,17,38126
ar-ae,18,42028
ar-ae,19,54259
ar-ae,20,55801
ar-ae,21,53594
ar-ae,22,49411
ar-ae,23,47375
ar-ae,24,45910
ar-ae,25,43933
ar-ae,26,38493
ar-ae,27,27994
ar-ae,28,32654
ar-ae,29,37712
ar-ae,30,38207
ar-ae,31,37427
ar-ae,32,38689
ar-ae,33,39446
ar-ae,34,38387
ar-ae,35,37688
ar-ae,36,39842
ar-ae,37,41814
ar-ae,38,42391
ar-ae,39,42334
ar-ae,40,45111
ar-ae,41,51643
ar-ae,42,57229
ar-ae,43,59616
ar-ae,44,60797
ar-ae,45,61161
ar-ae,46,58638
ar-ae,47,56341
ar-ae,48,56072
ar-ae,49,57949
ar-ae,50,56530
ar-ae,51,55983
ar-ae,52,41362
ar-ar,12,115
ar-ar,15,208
ar-ar,43,155
ar-bh,21,120
ar-dz,1,1289
ar-dz,2,1092
ar-dz,3,1061
ar-dz,4,986
ar-dz,5,1070
ar-dz,6,1014
ar-dz,7,1080
