language,week,visits
(not set),1,47598
(not set),2,49771
(not set),3,50106
(not set),4,56749
(not set),5,54939
(not set),6,52759
(not set),7,55200
(not set),8,58900
(not set),9,54863
(not set),10,55111
(not set),11,54748
(not set),12,53636
(not set),13,48338
(not set),14,53780
(not set),15,49973
(not set),16,51351
(not set),17,48833
(not set),18,47328
(not set),19,43002
(not set),20,45707
(not set),21,66259
(not set),22,40969
(not set),23,48036
(not set),24,48773
(not set),25,45791
(not set),26,46220
(not set),27,47375
(not set),28,45837
(not set),29,45329
(not set),30,45159
(not set),31,42353
(not set),32,44442
(not set),33,43738
(not set),34,45431
(not set),35,45090
(not set),36,44922
(not set),37,63466
(not set),38,52780
(not set),39,51631
(not set),40,53982
(not set),41,70158
(not set),42,60360
(not set),43,49821
(not set),44,56342
(not set),45,52585
(not set),46,53136
(not set),47,49933
(not set),48,48777
(not set),49,52100
(not set),50,51773
(not set),51,37660
(not set),52,39938
af,1,1283
af,2,1321
af,3,1247
af,4,1209
af,5,1070
af,6,1074
af,7,1088
af,8,1118
af,9,1124
af,10,1291
af,11,1736
af,12,1144
af,13,938
af,14,1142
af,15,1101
af,16,1085
af,17,1058
af,18,1066
af,19,1178
af,20,1173
af,21,1086
af,22,1097
af,23,1362
af,24,1458
af,25,1565
af,26,1495
af,27,1506
af,28,1331
af,29,1357
af,30,1506
af,31,1429
af,32,1455
af,33,1428
af,34,1576
af,35,1444
af,36,1388
af,37,1444
af,38,1264
af,39,1190
af,40,1283
af,41,1332
af,42,1263
af,43,1343
af,44,1116
af,45,1208
af,46,1167
af,47,1151
af,48,1299
af,49,1380
af,50,1308
af,51,1043
af,52,1140
af-za,34,101
am,3,103
am,11,229
am,14,117
am,15,111
am,31,112
am,39,245
am,41,205
am,50,221
ar,1,188662
ar,2,194917
ar,3,202421
ar,4,230893
ar,5,238311
ar,6,250407
ar,7,262521
ar,8,271225
ar,9,281116
ar,10,279394
ar,11,263120
ar,12,294522
ar,13,300144
ar,14,261595
ar,15,207433
ar,16,256021
ar,17,227780
ar,18,185994
ar,19,146226
ar,20,212702
ar,21,221695
ar,22,222409
ar,23,226036
ar,24,235472
ar,25,220772
ar,26,212107
ar,27,196763
ar,28,165780
ar,29,130349
ar,30,191394
ar,31,182649
ar,32,176751
ar,33,170814
ar,34,176378
ar,35,183011
ar,36,205422
ar,37,220448
ar,38,209879
ar,39,225049
ar,40,228918
ar,41,240238
ar,42,257863
ar,43,269132
ar,44,293918
ar,45,317416
ar,46,316674
ar,47,295782
ar,48,301011
ar,49,316899
ar,50,289835
ar,51,324506
ar,52,269398
ar-aa,30,217
ar-ae,1,46510
ar-ae,2,48219
ar-ae,3,46284
ar-ae,4,50889
ar-ae,5,49816
ar-ae,6,48115
ar-ae,7,50989
ar-ae,8,54139
ar-ae,9,55966
ar-ae,10,55730
ar-ae,11,51535
ar-ae,12,53177
ar-ae,13,51888
ar-ae,14,48934
ar-ae,15,43143
ar-ae,16,64343
ar-ae,17,55394
ar-ae,18,46014
ar-ae,19,38265
ar-ae,20,52771
ar-ae,21,53249
ar-ae,22,52784
ar-ae,23,52891
ar-ae,24,54800
ar-ae,25,51710
ar-ae,26,48645
ar-ae,27,47790
ar-ae,28,41138
ar-ae,29,33645
ar-ae,30,44753
ar-ae,31,44666
ar-ae,32,42667
ar-ae,33,41703
ar-ae,34,44184
ar-ae,35,41881
ar-ae,36,44634
ar-ae,37,44550
ar-ae,38,43485
ar-ae,39,43502
ar-ae,40,42880
ar-ae,41,45880
ar-ae,42,49580
ar-ae,43,48616
ar-ae,44,52211
ar-ae,45,55124
ar-ae,46,55522
ar-ae,47,55629
ar-ae,48,58785
ar-ae,49,57716
ar-ae,50,56344
ar-ae,51,62638
ar-ae,52,53578
ar-ar,1,1244
ar-ar,2,1327
ar-ar,3,1270
ar-ar,4,1197
ar-ar,5,1223
ar-ar,6,1231
ar-ar,7,866
ar-ar,8,1052
ar-ar,9,1135
ar-ar,10,1195
