year,week,visits
2020,1,17178531
2020,2,30860450
2020,3,31071805
2020,4,39590160
2020,5,50224553
2020,6,44406592
2020,7,39417213
2020,8,40238480
2020,9,67125228
2020,10,84650727
2020,11,162995980
2020,12,173484999
2020,13,130117969
2020,14,110685272
2020,15,87830683
2020,16,75543931
2020,17,67556449
2020,18,67742207
2020,19,60662036
2020,20,57166753
2020,21,57809542
2020,22,49574698
2020,23,45067883
2020,24,45554116
2020,25,46392677
2020,26,55727891
2020,27,55210278
2020,28,60619907
2020,29,62330496
2020,30,60892339
2020,31,58204674
2020,32,53940366
2020,33,50671027
2020,34,48905474
2020,35,51690004
2020,36,50217716
2020,37,47218137
2020,38,48058311
2020,39,51236503
2020,40,50217302
2020,41,54206214
2020,42,54127624
2020,43,54129009
2020,44,55362777
2020,45,52895998
2020,46,59240622
2020,47,62169718
2020,48,57674007
2020,49,60598914
2020,50,59643951
2020,51,60248122
2020,52,44651933
2020,53,50821627
