report_name,report_agency,domain,visits,week,year
domain,health-human-services,cdc.gov,1652624,52,2022
domain,health-human-services,covid.gov,158184,52,2022
domain,health-human-services,vaccines.gov,137520,52,2022
domain,health-human-services,covid.cdc.gov,41269,52,2022
domain,health-human-services,vacunas.gov,26990,52,2022
domain,health-human-services,cdc.gov,2052599,52,2022
domain,health-human-services,covid.gov,203117,52,2022
domain,health-human-services,vaccines.gov,145911,52,2022
domain,health-human-services,covid.cdc.gov,53256,52,2022
domain,health-human-services,vacunas.gov,30722,52,2022
domain,health-human-services,cdc.gov,2274724,52,2022
domain,health-human-services,covid.gov,237266,52,2022
domain,health-human-services,vaccines.gov,149338,52,2022
domain,health-human-services,covid.cdc.gov,49123,52,2022
domain,health-human-services,vacunas.gov,27223,52,2022
domain,health-human-services,cdc.gov,2347304,52,2022
domain,health-human-services,covid.gov,251720,52,2022
domain,health-human-services,vaccines.gov,151333,52,2022
domain,health-human-services,covid.cdc.gov,44061,52,2022
domain,health-human-services,vacunas.gov,27672,52,2022
domain,health-human-services,cdc.gov,2273459,52,2022
domain,health-human-services,covid.gov,252909,52,2022
domain,health-human-services,vaccines.gov,153091,52,2022
domain,health-human-services,covid.cdc.gov,44451,52,2022
domain,health-human-services,vacunas.gov,27215,52,2022
domain,health-human-services,cdc.gov,1954779,52,2022
domain,health-human-services,covid.gov,225783,52,2022
domain,health-human-services,vaccines.gov,153442,52,2022
domain,health-human-services,covid.cdc.gov,32635,52,2022
domain,health-human-services,vacunas.gov,28887,52,2022
domain,health-human-services,cdc.gov,1482018,51,2022
domain,health-human-services,covid.gov,152792,51,2022
domain,health-human-services,vaccines.gov,139436,51,2022
domain,health-human-services,vacunas.gov,28558,51,2022
domain,health-human-services,covid.cdc.gov,22030,51,2022
domain,health-human-services,cdc.gov,1550578,51,2022
domain,health-human-services,covid.gov,194655,51,2022
domain,health-human-services,vaccines.gov,133223,51,2022
domain,health-human-services,covid.cdc.gov,26111,51,2022
domain,health-human-services,vacunas.gov,24189,51,2022
domain,health-human-services,cdc.gov,1999750,51,2022
domain,health-human-services,covid.gov,309031,51,2022
domain,health-human-services,vaccines.gov,163018,51,2022
domain,health-human-services,covid.cdc.gov,42543,51,2022
domain,health-human-services,vacunas.gov,25485,51,2022
domain,health-human-services,cdc.gov,2306320,51,2022
domain,health-human-services,covid.gov,586036,51,2022
domain,health-human-services,vaccines.gov,129854,51,2022
domain,health-human-services,covid.cdc.gov,48017,51,2022
domain,health-human-services,vacunas.gov,22937,51,2022
domain,health-human-services,cdc.gov,2477222,51,2022
domain,health-human-services,covid.gov,577595,51,2022
domain,health-human-services,vaccines.gov,127673,51,2022
domain,health-human-services,covid.cdc.gov,41055,51,2022
domain,health-human-services,vacunas.gov,22099,51,2022
domain,health-human-services,cdc.gov,2617818,51,2022
domain,health-human-services,covid.gov,1361278,51,2022
domain,health-human-services,vaccines.gov,130873,51,2022
domain,health-human-services,covid.cdc.gov,43999,51,2022
domain,health-human-services,vacunas.gov,26311,51,2022
domain,health-human-services,cdc.gov,2687086,51,2022
domain,health-human-services,covid.gov,566102,51,2022
domain,health-human-services,vaccines.gov,127567,51,2022
domain,health-human-services,covid.cdc.gov,50507,51,2022
domain,health-human-services,vacunas.gov,25802,51,2022
domain,health-human-services,cdc.gov,2065275,50,2022
domain,health-human-services,covid.gov,493290,50,2022
domain,health-human-services,vaccines.gov,126019,50,2022
domain,health-human-services,covid.cdc.gov,27849,50,2022
domain,health-human-services,vacunas.gov,25583,50,2022
domain,health-human-services,cdc.gov,1981148,50,2022
domain,health-human-services,covid.gov,764405,50,2022
domain,health-human-services,vaccines.gov,125835,50,2022
domain,health-human-services,covid.cdc.gov,31864,50,2022
domain,health-human-services,vacunas.gov,25020,50,2022
domain,health-human-services,cdc.gov,2450429,50,2022
domain,health-human-services,covid.gov,2001338,50,2022
domain,health-human-services,vaccines.gov,134201,50,2022
domain,health-human-services,covid.cdc.gov,60612,50,2022
domain,health-human-services,vacunas.gov,24549,50,2022
domain,health-human-services,covid.gov,5169165,50,2022
domain,health-human-services,cdc.gov,2681761,50,2022
domain,health-human-services,vaccines.gov,136557,50,2022
domain,health-human-services,covid.cdc.gov,65890,50,2022
domain,health-human-services,vacunas.gov,24727,50,2022
domain,health-human-services,cdc.gov,2734573,50,2022
domain,health-human-services,vaccines.gov,113654,50,2022
domain,health-human-services,covid.gov,91034,50,2022
domain,health-human-services,covid.cdc.gov,50537,50,2022
domain,health-human-services,vacunas.gov,14419,50,2022
domain,health-human-services,cdc.gov,2796152,50,2022
domain,health-human-services,vaccines.gov,114671,50,2022
domain,health-human-services,covid.cdc.gov,58380,50,2022
domain,health-human-services,covid.gov,52162,50,2022
domain,health-human-services,vacunas.gov,10024,50,2022
domain,health-human-services,cdc.gov,2894298,50,2022
domain,health-human-services,vaccines.gov,136572,50,2022
domain,health-human-services,covid.cdc.gov,77868,50,2022
domain,health-human-services,covid.gov,55369,50,2022
domain,health-human-services,vacunas.gov,12500,50,2022
domain,health-human-services,cdc.gov,2240038,49,2022
domain,health-human-services,vaccines.gov,101854,49,2022
domain,health-human-services,covid.cdc.gov,56137,49,2022
domain,health-human-services,covid.gov,42922,49,2022
domain,health-human-services,vacunas.gov,11838,49,2022
domain,health-human-services,cdc.gov,1949485,49,2022
domain,health-human-services,vaccines.gov,106686,49,2022
domain,health-human-services,covid.gov,39628,49,2022
domain,health-human-services,covid.cdc.gov,31958,49,2022
domain,health-human-services,vacunas.gov,13659,49,2022
domain,health-human-services,cdc.gov,2422489,49,2022
domain,health-human-services,vaccines.gov,123899,49,2022
