year,week,visits
2019,1,25130808
2019,2,34564124
2019,3,35054924
2019,4,34851314
2019,5,36540111
2019,6,37304071
2019,7,36746465
2019,8,36789422
2019,9,37679278
2019,10,66910191
2019,11,77163343
2019,12,81321719
2019,13,83022236
2019,14,82802371
2019,15,83212182
2019,16,75343643
2019,17,79466199
2019,18,78225771
2019,19,77840098
2019,20,78631167
2019,21,74833485
2019,22,70355714
2019,23,70471889
2019,24,71160349
2019,25,70417668
2019,26,69884260
2019,27,64284030
2019,28,69022650
2019,29,68512990
2019,30,67601607
2019,31,66761541
2019,32,66300430
2019,33,66750972
2019,34,69625088
2019,35,70775687
2019,36,71861804
2019,37,77443259
2019,38,79295056
2019,39,82872338
2019,40,81044958
2019,41,82921587
2019,42,84766301
2019,43,85062975
2019,44,85146918
2019,45,89429430
2019,46,88171350
2019,47,89922721
2019,48,77712932
2019,49,88148089
2019,50,82623807
2019,51,64350033
2019,52,51547031
