week,visits
1,148662936
2,154214022
3,209105933
4,139020334
5,127652617
6,127531614
7,124735344
8,122079253
9,123603016
10,128154010
11,120492921
12,111727351
13,114061599
14,112166478
15,111456490
16,119515272
17,118532493
18,115212498
19,120327907
20,136969456
21,122856920
22,113429275
23,115188986
24,109377124
25,108129055
26,105237776
27,104647696
28,108726664
29,110425788
30,109645250
31,112874135
32,111231062
33,111579823
34,115037643
35,120030269
36,120204269
37,124743615
38,123971937
39,117471434
40,119443273
41,123077109
42,125866746
43,126362903
44,126887443
45,129967180
46,129535012
47,114832210
48,127974113
49,123299279
50,123034609
51,94662889
52,105884382
