week,visits
1,80432877
2,80648394
3,135679347
4,66629729
5,56911125
6,53461919
7,51194733
8,50033648
9,51300543
10,55221872
11,48720385
12,48038222
13,50359351
14,49261133
15,43895553
16,47186732
17,47466637
18,47029083
19,49343176
20,65748350
21,54913117
22,48757649
23,48501900
24,44804711
25,44446071
26,43497943
27,45138100
28,47002587
29,47830831
30,48478489
31,52341852
32,47691761
33,45278041
34,44673734
35,48658042
36,44320683
37,45887899
38,47013288
39,45860285
40,46909020
41,47450778
42,48717050
43,49552055
44,49873900
45,50891259
46,50177697
47,44027633
48,50334671
49,49211205
50,55644225
51,41381691
52,49804496
