cases,deaths,daily_cases,daily_deaths
408872946,5827970,5029868.0,11887.0
447689908,5919176,5647954.0,13781.0
483362226,6018496,4852909.0,15178.0
512764051,6139343,3659728.0,17683.0
530823959,6267378,2090872.0,18030.0
541030472,6390430,1210730.0,16968.0
547109991,6502327,748868.0,15526.0
550808098,6595440,457020.0,12989.0
553547633,6679353,334243.0,10546.0
555382903,6744695,244652.0,8932.0
557013490,6775493,229267.0,3787.0
558498422,6817306,209927.0,5338.0
559924474,6851102,199840.0,4571.0
561400213,6878175,222773.0,3756.0
563129440,6902975,260191.0,3415.0
565278071,6922222,331666.0,2481.0
567945345,6938935,406829.0,2324.0
571249352,6964963,497924.0,4250.0
575438651,6983818,642137.0,2069.0
580600390,6998834,773298.0,2225.0
585926034,7016352,738702.0,2590.0
590875621,7030684,747272.0,1985.0
596394873,7049108,766240.0,2693.0
601439745,7065032,682748.0,2048.0
606395284,7080968,772334.0,2593.0
611886829,7099489,745463.0,2512.0
617092404,7115241,795665.0,2288.0
623492268,7135917,907802.0,2997.0
629770457,7156933,900886.0,3060.0
636054975,7178062,869658.0,2988.0
641860766,7201244,819727.0,3477.0
647141737,7225194,725267.0,3399.0
651900312,7248053,661104.0,3161.0
656368882,7270937,630933.0,3338.0
660640204,7296293,593720.0,3696.0
664014107,7316464,465210.0,2762.0
667205707,7338551,429749.0,3079.0
669930237,7358840,378896.0,2856.0
672373381,7380526,337455.0,3217.0
674440159,7401264,271807.0,2843.0
676188418,7419530,254265.0,2601.0
677978133,7437688,248345.0,2620.0
679739429,7456302,255598.0,2586.0
681662199,7473209,289672.0,2471.0
683597022,7526379,257892.0,14572.0
685580032,7589884,302756.0,1933.0
687572000,7604552,261443.0,1966.0
689964448,7617922,397835.0,2089.0
692971623,7638754,437099.0,3413.0
696183660,7659247,479455.0,2664.0
699634807,7677782,482808.0,2465.0
711938390,8242426,814315.0,2803.0
