year,week,visits
2022,1,148662936
2022,2,154214022
2022,3,209105933
2022,4,139020334
2022,5,127652617
2022,6,127531614
2022,7,124735344
2022,8,122079253
2022,9,123603016
2022,10,128154010
2022,11,120492921
2022,12,111727351
2022,13,114061599
2022,14,112166478
2022,15,111456490
2022,16,119515272
2022,17,118532493
2022,18,115212498
2022,19,120327907
2022,20,136969456
2022,21,122856920
2022,22,113429275
2022,23,115188986
2022,24,109377124
2022,25,108129055
2022,26,105237776
2022,27,104647696
2022,28,108726664
2022,29,110425788
2022,30,109645250
2022,31,112874135
2022,32,111231062
2022,33,111579823
2022,34,115037643
2022,35,120030269
2022,36,120204269
2022,37,124743615
2022,38,123971937
2022,39,117471434
2022,40,119443273
2022,41,123077109
2022,42,125866746
2022,43,126362903
2022,44,126887443
2022,45,129967180
2022,46,129535012
2022,47,114832210
2022,48,127974113
2022,49,123299279
2022,50,123034609
2022,51,94662889
2022,52,76904260
