cases,deaths,daily_cases,daily_deaths
41,0,7.0,0.0
736,1,63.0,1.0
1095533,20322,188391.0,4303.0
19611708,990492,887297.0,58836.0
45452114,2695258,723544.0,41239.0
65288844,3498954,854019.0,23083.0
111626136,4307836,1918348.0,26400.0
166758528,5259820,1473788.0,29610.0
199758786,5879775,1217278.0,23380.0
252794114,6774225,1946272.0,23660.0
338932078,7449571,4406314.0,37519.0
525970605,9537613,6409480.0,78019.0
