week,visits
1,25986790
2,25681225
3,26022841
4,25864028
5,27272560
6,27726038
7,27324937
8,27437454
9,27968754
10,28143672
11,28759652
12,30220204
13,30927164
14,30932327
15,30969790
16,27629508
17,29425772
18,29784042
19,29054578
20,29564573
21,28054256
22,26562295
23,26826762
24,27039468
25,26559473
26,27202739
27,24700358
28,26247634
29,25955229
30,25624497
31,25438909
32,25562573
33,26088319
34,26650432
35,27195040
36,27224688
37,29416928
38,29382781
39,32026462
40,31225785
41,31002040
42,31781629
43,32556391
44,33147615
45,34806741
46,33825384
47,35154285
48,30257126
49,35244024
50,33374735
51,24550738
52,21031483
