year,week,visits
2020,1,59399899
2020,2,78003743
2020,3,80491912
2020,4,90236403
2020,5,104282057
2020,6,100121039
2020,7,95289632
2020,8,97387243
2020,9,129492023
2020,10,147844633
2020,11,229626526
2020,12,235959124
2020,13,193376711
2020,14,176207993
2020,15,150619261
2020,16,141813599
2020,17,135745428
2020,18,132638358
2020,19,123883860
2020,20,119961286
2020,21,119487500
2020,22,108696844
2020,23,103045318
2020,24,102781805
2020,25,101060522
2020,26,109894851
2020,27,107210180
2020,28,114931199
2020,29,118073600
2020,30,115818610
2020,31,111169517
2020,32,105950131
2020,33,101948523
2020,34,101480543
2020,35,108534986
2020,36,109318054
2020,37,107262906
2020,38,111091318
2020,39,115776680
2020,40,113237999
2020,41,121273673
2020,42,121861745
2020,43,122759065
2020,44,122452140
2020,45,117970221
2020,46,126903622
2020,47,130459614
2020,48,119331964
2020,49,129660995
2020,50,127135981
2020,51,121859342
2020,52,89852082
2020,53,98568989
