date,visits
2022-01-01 00:00:00,7411139
2022-01-02 00:00:00,8862513
2022-01-03 00:00:00,12308180
2022-01-04 00:00:00,13200271
2022-01-05 00:00:00,13168244
2022-01-06 00:00:00,12235368
2022-01-07 00:00:00,11355025
2022-01-08 00:00:00,9002365
2022-01-09 00:00:00,9163424
2022-01-10 00:00:00,12449903
2022-01-11 00:00:00,12620935
2022-01-12 00:00:00,12386511
2022-01-13 00:00:00,11931473
2022-01-14 00:00:00,10772961
2022-01-15 00:00:00,10757961
2022-01-16 00:00:00,9728650
2022-01-17 00:00:00,12268826
2022-01-18 00:00:00,50490536
2022-01-19 00:00:00,25587657
2022-01-20 00:00:00,16528533
2022-01-21 00:00:00,12772962
2022-01-22 00:00:00,9200148
2022-01-23 00:00:00,8830685
2022-01-24 00:00:00,11535040
2022-01-25 00:00:00,11437898
2022-01-26 00:00:00,10951341
2022-01-27 00:00:00,10097503
2022-01-28 00:00:00,8857547
2022-01-29 00:00:00,6786598
2022-01-30 00:00:00,6963802
2022-01-31 00:00:00,9405651
2022-02-01 00:00:00,9154117
2022-02-02 00:00:00,8986844
2022-02-03 00:00:00,8852556
2022-02-04 00:00:00,8065424
2022-02-05 00:00:00,6111980
2022-02-06 00:00:00,6334553
2022-02-07 00:00:00,8726482
2022-02-08 00:00:00,8743477
2022-02-09 00:00:00,8677752
2022-02-10 00:00:00,8475526
2022-02-11 00:00:00,7453545
2022-02-12 00:00:00,5637460
2022-02-13 00:00:00,5747677
2022-02-14 00:00:00,7592856
2022-02-15 00:00:00,8274820
2022-02-16 00:00:00,8312216
2022-02-17 00:00:00,8122179
2022-02-18 00:00:00,7670516
2022-02-19 00:00:00,5533505
2022-02-20 00:00:00,5688641
2022-02-21 00:00:00,7389307
2022-02-22 00:00:00,8014028
2022-02-23 00:00:00,7926815
2022-02-24 00:00:00,7329783
2022-02-25 00:00:00,7592065
2022-02-26 00:00:00,5907702
2022-02-27 00:00:00,5873948
2022-02-28 00:00:00,8304805
2022-03-01 00:00:00,8113312
2022-03-02 00:00:00,8362022
2022-03-03 00:00:00,8181976
2022-03-04 00:00:00,7343606
2022-03-05 00:00:00,5348461
2022-03-06 00:00:00,5646361
2022-03-07 00:00:00,9686148
2022-03-08 00:00:00,9523691
2022-03-09 00:00:00,9009563
2022-03-10 00:00:00,8923913
2022-03-11 00:00:00,7358910
2022-03-12 00:00:00,5387990
2022-03-13 00:00:00,5331657
2022-03-14 00:00:00,7922320
2022-03-15 00:00:00,7991165
2022-03-16 00:00:00,8105208
2022-03-17 00:00:00,7523540
2022-03-18 00:00:00,6694049
2022-03-19 00:00:00,5102349
2022-03-20 00:00:00,5381754
2022-03-21 00:00:00,7770311
2022-03-22 00:00:00,7928923
2022-03-23 00:00:00,7858457
2022-03-24 00:00:00,7537611
2022-03-25 00:00:00,6630787
2022-03-26 00:00:00,4921652
2022-03-27 00:00:00,5390481
2022-03-28 00:00:00,7777422
2022-03-29 00:00:00,8135376
2022-03-30 00:00:00,8624511
2022-03-31 00:00:00,8066711
2022-04-01 00:00:00,6881443
2022-04-02 00:00:00,5240190
2022-04-03 00:00:00,5633698
2022-04-04 00:00:00,8087658
2022-04-05 00:00:00,8048996
2022-04-06 00:00:00,8456137
2022-04-07 00:00:00,7723902
2022-04-08 00:00:00,6758889
2022-04-09 00:00:00,4956952
2022-04-10 00:00:00,5228599
2022-04-11 00:00:00,7575135
2022-04-12 00:00:00,7496577
2022-04-13 00:00:00,7137460
2022-04-14 00:00:00,6544883
2022-04-15 00:00:00,5605396
2022-04-16 00:00:00,4623240
2022-04-17 00:00:00,4912862
2022-04-18 00:00:00,7551544
2022-04-19 00:00:00,7832026
2022-04-20 00:00:00,7617695
