date,visits
2021-01-01 00:00:00,10956559
2021-01-02 00:00:00,12442758
2021-01-03 00:00:00,13783472
2021-01-04 00:00:00,19452993
2021-01-05 00:00:00,20088620
2021-01-06 00:00:00,18411127
2021-01-07 00:00:00,18799832
2021-01-08 00:00:00,17683026
2021-01-09 00:00:00,13246908
2021-01-10 00:00:00,14086807
2021-01-11 00:00:00,20001309
2021-01-12 00:00:00,21000177
2021-01-13 00:00:00,21091305
2021-01-14 00:00:00,20512230
2021-01-15 00:00:00,18719137
2021-01-16 00:00:00,13843425
2021-01-17 00:00:00,14478496
2021-01-18 00:00:00,18970339
2021-01-19 00:00:00,21151221
2021-01-20 00:00:00,19977210
2021-01-21 00:00:00,20783234
2021-01-22 00:00:00,19175266
2021-01-23 00:00:00,14470094
2021-01-24 00:00:00,15453655
2021-01-25 00:00:00,21500850
2021-01-26 00:00:00,21654130
2021-01-27 00:00:00,21493442
2021-01-28 00:00:00,20884487
2021-01-29 00:00:00,18400944
2021-01-30 00:00:00,13808588
2021-01-31 00:00:00,14944561
2021-02-01 00:00:00,20285972
2021-02-02 00:00:00,20542757
2021-02-03 00:00:00,20744206
2021-02-04 00:00:00,20392062
2021-02-05 00:00:00,18231729
2021-02-06 00:00:00,13612543
2021-02-07 00:00:00,14431254
2021-02-08 00:00:00,20058327
2021-02-09 00:00:00,20391916
2021-02-10 00:00:00,20062455
2021-02-11 00:00:00,20059695
2021-02-12 00:00:00,17329600
2021-02-13 00:00:00,12652982
2021-02-14 00:00:00,12907613
2021-02-15 00:00:00,17734615
2021-02-16 00:00:00,19118277
2021-02-17 00:00:00,19799909
2021-02-18 00:00:00,19679796
2021-02-19 00:00:00,17625866
2021-02-20 00:00:00,13227024
2021-02-21 00:00:00,14696999
2021-02-22 00:00:00,20502238
2021-02-23 00:00:00,20489602
2021-02-24 00:00:00,20552799
2021-02-25 00:00:00,20113179
2021-02-26 00:00:00,17794415
2021-02-27 00:00:00,13555264
2021-02-28 00:00:00,15004837
2021-03-01 00:00:00,20715984
2021-03-02 00:00:00,21626529
2021-03-03 00:00:00,21563360
2021-03-04 00:00:00,21668682
2021-03-05 00:00:00,19024407
2021-03-06 00:00:00,14173549
2021-03-07 00:00:00,15494483
