date,visits
2019-01-01 00:00:00,2125473
2019-01-02 00:00:00,4027852
2019-01-03 00:00:00,4165693
2019-01-04 00:00:00,3772544
2019-01-05 00:00:00,2541330
2019-01-06 00:00:00,2526619
2019-01-07 00:00:00,4022424
2019-01-08 00:00:00,4213732
2019-01-09 00:00:00,4248421
2019-01-10 00:00:00,4230413
2019-01-11 00:00:00,3746204
2019-01-12 00:00:00,2534663
2019-01-13 00:00:00,2685368
2019-01-14 00:00:00,4226389
2019-01-15 00:00:00,4329937
2019-01-16 00:00:00,4337326
2019-01-17 00:00:00,4292520
2019-01-18 00:00:00,3656203
2019-01-19 00:00:00,2531686
2019-01-20 00:00:00,2648780
2019-01-21 00:00:00,3639431
2019-01-22 00:00:00,4260536
2019-01-23 00:00:00,4414831
2019-01-24 00:00:00,4290646
2019-01-25 00:00:00,3765839
2019-01-26 00:00:00,2648013
2019-01-27 00:00:00,2844732
2019-01-28 00:00:00,4483674
2019-01-29 00:00:00,4573368
2019-01-30 00:00:00,4494004
2019-01-31 00:00:00,4429851
2019-02-01 00:00:00,3866736
2019-02-02 00:00:00,2666912
2019-02-03 00:00:00,2758015
2019-02-04 00:00:00,4382403
2019-02-05 00:00:00,4561451
2019-02-06 00:00:00,4592799
2019-02-07 00:00:00,4534464
2019-02-08 00:00:00,3923022
2019-02-09 00:00:00,2737363
2019-02-10 00:00:00,2994536
2019-02-11 00:00:00,4604683
2019-02-12 00:00:00,4592093
2019-02-13 00:00:00,4480381
2019-02-14 00:00:00,4029798
2019-02-15 00:00:00,3822378
2019-02-16 00:00:00,2801154
2019-02-17 00:00:00,2994450
2019-02-18 00:00:00,4168657
2019-02-19 00:00:00,4619298
2019-02-20 00:00:00,4643457
2019-02-21 00:00:00,4454506
2019-02-22 00:00:00,3859687
2019-02-23 00:00:00,2708480
2019-02-24 00:00:00,2983369
2019-02-25 00:00:00,4613852
2019-02-26 00:00:00,4656642
2019-02-27 00:00:00,4552235
2019-02-28 00:00:00,4382737
2019-03-01 00:00:00,3967952
2019-03-02 00:00:00,2770979
2019-03-03 00:00:00,3024357
2019-03-04 00:00:00,4595644
2019-03-05 00:00:00,4677659
2019-03-06 00:00:00,4638100
2019-03-07 00:00:00,4594040
2019-03-08 00:00:00,3936393
2019-03-09 00:00:00,2780053
2019-03-10 00:00:00,2921783
2019-03-11 00:00:00,4620564
2019-03-12 00:00:00,4645137
2019-03-13 00:00:00,4954299
2019-03-14 00:00:00,4679738
2019-03-15 00:00:00,3994918
2019-03-16 00:00:00,2822611
2019-03-17 00:00:00,3042385
2019-03-18 00:00:00,4796088
2019-03-19 00:00:00,4909213
2019-03-20 00:00:00,4874962
2019-03-21 00:00:00,4944270
2019-03-22 00:00:00,4280866
2019-03-23 00:00:00,3062161
2019-03-24 00:00:00,3352644
2019-03-25 00:00:00,5092076
2019-03-26 00:00:00,5135057
2019-03-27 00:00:00,5260358
2019-03-28 00:00:00,4949565
2019-03-29 00:00:00,4207684
2019-03-30 00:00:00,2982122
2019-03-31 00:00:00,3300302
2019-04-01 00:00:00,4974703
2019-04-02 00:00:00,5034260
2019-04-03 00:00:00,5148319
2019-04-04 00:00:00,4934577
2019-04-05 00:00:00,4314715
2019-04-06 00:00:00,3055046
2019-04-07 00:00:00,3470707
2019-04-08 00:00:00,5220314
2019-04-09 00:00:00,5233415
2019-04-10 00:00:00,5200820
2019-04-11 00:00:00,4931970
2019-04-12 00:00:00,4179173
2019-04-13 00:00:00,3007017
2019-04-14 00:00:00,3197081
2019-04-15 00:00:00,4787228
2019-04-16 00:00:00,4679314
2019-04-17 00:00:00,4637895
2019-04-18 00:00:00,4047629
2019-04-19 00:00:00,3746426
2019-04-20 00:00:00,2851318
2019-04-21 00:00:00,2879698
2019-04-22 00:00:00,4612777
2019-04-23 00:00:00,4863235
2019-04-24 00:00:00,4859662
2019-04-25 00:00:00,4863969
2019-04-26 00:00:00,4188569
2019-04-27 00:00:00,2913605
2019-04-28 00:00:00,3123955
2019-04-29 00:00:00,5011769
2019-04-30 00:00:00,4743521
2019-05-01 00:00:00,4537467
2019-05-02 00:00:00,5129267
2019-05-03 00:00:00,4278958
2019-05-04 00:00:00,2906269
2019-05-05 00:00:00,3176791
2019-05-06 00:00:00,4865473
2019-05-07 00:00:00,4943136
2019-05-08 00:00:00,5009742
2019-05-09 00:00:00,4686012
2019-05-10 00:00:00,3944410
2019-05-11 00:00:00,2746522
2019-05-12 00:00:00,2859283
2019-05-13 00:00:00,4797724
2019-05-14 00:00:00,4796801
2019-05-15 00:00:00,4836312
